TEAM_ID,TEAM_NAME,GP,W_PCT
1610612737,Atlanta Hawks,82,0.683
1610612738,Boston Celtics,82,0.183
1610612766,Charlotte Hornets,82,0.659
1610612741,Chicago Bulls,82,0.841
1610612739,Cleveland Cavaliers,82,0.512
1610612742,Dallas Mavericks,82,0.293
1610612743,Denver Nuggets,82,0.256
1610612765,Detroit Pistons,82,0.659
1610612744,Golden State Warriors,82,0.366
1610612745,Houston Rockets,82,0.695
1610612754,Indiana Pacers,82,0.476
1610612746,Los Angeles Clippers,82,0.439
1610612747,Los Angeles Lakers,82,0.683
1610612748,Miami Heat,82,0.744
1610612749,Milwaukee Bucks,82,0.402
1610612750,Minnesota Timberwolves,82,0.488
1610612751,New Jersey Nets,82,0.317
1610612752,New York Knicks,82,0.695
1610612753,Orlando Magic,82,0.549
1610612755,Philadelphia 76ers,82,0.268
1610612756,Phoenix Suns,82,0.488
1610612757,Portland Trail Blazers,82,0.598
1610612758,Sacramento Kings,82,0.415
1610612759,San Antonio Spurs,82,0.244
1610612760,Seattle SuperSonics,82,0.695
1610612761,Toronto Raptors,82,0.366
1610612762,Utah Jazz,82,0.78
1610612763,Vancouver Grizzlies,82,0.171
1610612764,Washington Bullets,82,0.537
