PLAYER,SALARY
Michael Jordan,33140000
Patrick Ewing,20500000
Horace Grant,14285714
Shaquille O'Neal,12857143
David Robinson,12397440
Alonzo Mourning,11254800
Juwan Howard,11250000
Hakeem Olajuwon,11156000
Gary Payton,10514688
Dikembe Mutombo,9615187
Reggie Miller,9031850
Chris Webber,9000000
Shawn Kemp,8600000
Larry Johnson,8460714
Derrick Coleman,8002800
Kevin Johnson,8000000
Latrell Sprewell,7770000
Anfernee Hardaway,7580000
Elden Campbell,7000000
Danny Manning,6833333
Robert Horry,6000000
Allan Houston,6000000
Shawn Bradley,5940000
Grant Hill,5850000
Otis Thorpe,5700000
Glenn Robinson,5510000
Clyde Drexler,5500000
Tom Gugliotta,5500000
Steve Smith,5400000
Sean Elliott,5333333
Dale Davis,5273333
Jason Kidd,5223333
Karl Malone,5118578
John Starks,5112500
A.C. Green,5095088
Christian Laettner,5050000
Kenny Anderson,5010000
Brian Grant,5000000
John Stockton,5000000
Vlade Divac,4833333
Tim Hardaway,4800000
Glen Rice,4702000
Harvey Grant,4671875
Jim Jackson,4600000
Charles Smith,4576343
Ron Harper,4560000
Toni Kukoc,4560000
John Williams,4550000
Dennis Rodman,4500000
Antonio Davis,4500000
Jamal Mashburn,4433334
Kendall Gill,4400000
Sherman Douglas,4297250
Billy Owens,4225200
Isaiah Rider,4210000
Jeff Hornacek,4195000
Tyrone Hill,4110000
Mark Price,4090920
Vin Baker,4064373
Bison Dele,4050000
Bryant Stith,4030000
Rony Seikaly,4002000
Danny Ferry,4000000
Rik Smits,4000000
Nick Anderson,4000000
Donyell Marshall,3990000
PJ Brown,3844800
Brian Shaw,3750000
Stanley Roberts,3750000
Walt Williams,3750000
Lionel Simmons,3716500
Dell Curry,3660000
Chris Gatling,3656400
LaPhonso Ellis,3650000
Olden Polynice,3610000
Derrick McKey,3600000
Jim McIlvaine,3600000
Calbert Cheaney,3600000
Stojko Vrankovic,3580000
Bobby Hurley,3552000
Dee Brown,3500000
Wesley Person,3500000
Nate McMillan,3500000
Sharone Wright,3500000
Anthony Mason,3471500
Rod Strickland,3450000
Dana Barros,3400000
Sam Perkins,3370000
Loy Vaught,3350000
Detlef Schrempf,3333333
Ken Norman,3332000
Mahmoud Abdul-Rauf,3300000
Robert Pack,3240000
Mark Jackson,3200000
Luc Longley,3184900
Joe Smith,3165160
Allen Iverson,3128640
Hersey Hawkins,3124100
Chris Childs,3120000
Arvydas Sabonis,3080000
Mookie Blaylock,3000000
Joe Dumars,3000000
Chris Mills,3000000
Mitch Richmond,3000000
Avery Johnson,3000000
Chris Morris,3000000
Tim Duncan,2967840
Chris Mullin,2941500
Dennis Scott,2920000
Bobby Phills,2900000
Lamond Murray,2900000
Antonio McDyess,2876640
Bryon Russell,2857144
Charles Oakley,2850000
Scott Williams,2850000
Pooh Richardson,2820710
Dan Majerle,2820000
Clarence Weatherspoon,2800000
Stacey Augmon,2800000
Marcus Camby,2799240
Armen Gilliam,2780400
Scottie Pippen,2775000
Micheal Williams,2775000
Andrew Lang,2700000
Keith Van Horn,2655360
Kevin Edwards,2640000
Rodney Rogers,2640000
Grant Long,2610335
Cedric Ceballos,2605000
BJ Armstrong,2600000
Jerry Stackhouse,2583360
Doug West,2535000
Shareef Abdur-Rahim,2513760
Dino Radja,2500000
Jayson Williams,2500000
Sam Cassell,2500000
Chuck Person,2470000
Mario Elie,2430000
Chauncey Billups,2384640
Voshon Lenard,2364597
Rasheed Wallace,2329080
Blue Edwards,2300000
Adam Keefe,2300000
Vinny Del Negro,2298777
Ervin Johnson,2281128
Stephon Marbury,2266320
Charles Barkley,2250000
Mark Bryant,2250000
Felton Spencer,2178099
Greg Minor,2160000
Antonio Daniels,2149920
Don MacLean,2120000
George Lynch,2115000
Kevin Garnett,2109120
Pervis Ellison,2090000
Michael Cage,2055421
Ray Allen,2052360
Elmore Spencer,2050000
Tracy Murray,2040000
Doug Christie,2012767
Anthony Peeler,2012500
Travis Knight,2000000
Eddie Jones,2000000
Elliot Perry,2000000
Terry Porter,2000000
Will Perdue,1987500
Tony Battie,1946880
Brent Price,1920000
Dale Ellis,1920000
Michael Smith,1920000
Bryant Reeves,1915680
Nick Van Exel,1900000
Carlos Rogers,1900000
Gheorghe Muresan,1887500
Popeye Jones,1886538
Antoine Walker,1864080
