PLAYER,SALARY
Patrick Ewing,18500000
Shaquille O'Neal,15000000
David Robinson,14841000
Kevin Garnett,14000000
Alonzo Mourning,13130000
Juwan Howard,13125000
Hakeem Olajuwon,12943000
Derrick Coleman,12267000
Dikembe Mutombo,11218000
Jayson Williams,11000000
Scottie Pippen,11000000
Larry Johnson,10186000
Charles Oakley,10186000
Chris Webber,10000000
Shawn Kemp,9740000
Antonio McDyess,9000000
Arvydas Sabonis,9000000
Damon Stoudamire,9000000
Rasheed Wallace,9000000
Gary Payton,8715000
Anfernee Hardaway,8505000
Rik Smits,8500000
Latrell Sprewell,8300000
Vlade Divac,8300000
Horace Grant,7843000
Tom Gugliotta,7800000
Bryant Reeves,7222000
Elden Campbell,7000000
Allan Houston,7000000
Danny Manning,6833000
Matt Geiger,6800000
Reggie Miller,6781000
Shawn Bradley,6750000
Grant Hill,6675000
Glenn Robinson,6380000
Steve Smith,6300000
Terrell Brandon,6300000
Karl Malone,6142000
Jason Kidd,6041000
Michael Finley,6000000
Theo Ratliff,6000000
Brian Grant,6000000
Kenny Anderson,5845000
Tim Hardaway,5600000
Mark Price,5488000
Christian Laettner,5360000
Tyrone Hill,5352000
Sean Elliott,5333000
Ron Harper,5280000
Glen Rice,5248000
A.C. Green,5125088
Charles Smith,5052223
Jamal Mashburn,5033000
Kendall Gill,5000000
Robert Horry,5000000
Isaac Austin,5000000
Bison Dele,4860000
Isaiah Rider,4810000
Alan Henderson,4725000
Bryant Stith,4666000
Toni Kukoc,4610000
PJ Brown,4480000
Otis Thorpe,4400000
Will Perdue,4373000
Donyell Marshall,4370000
Greg Ostertag,4333000
Chris Gatling,4266000
Vin Baker,4264000
Rony Seikaly,4252000
Brian Shaw,4250000
Lionel Simmons,4238500
Jim McIlvaine,4200000
Wesley Person,4200000
Derrick McKey,4200000
Anthony Mason,4165000
Stojko Vrankovic,4060000
Dale Davis,4038000
Bobby Hurley,4030000
Danny Ferry,4000000
John Starks,4000000
Luc Longley,4000000
Sharone Wright,4000000
John Stockton,4000000
Calbert Cheaney,4000000
Jerry Stackhouse,3887000
Chuck Person,3860000
Loy Vaught,3830000
Robert Pack,3780000
Ken Norman,3775000
Dee Brown,3750000
Jason Caffey,3675000
BJ Armstrong,3650000
Hersey Hawkins,3644000
Chris Childs,3640000
Mookie Blaylock,3600000
Brent Barry,3600000
Chris Mills,3600000
Mark Jackson,3600000
Allen Iverson,3537000
Chris Mullin,3510000
Dana Barros,3500000
Antonio Davis,3500000
Lamond Murray,3500000
Clifford Robinson,3500000
Bobby Phills,3480000
Jeff Hornacek,3455000
Bryon Russell,3428000
Tim Duncan,3413000
Detlef Schrempf,3333000
Scott Williams,3300000
Dan Majerle,3290000
Armen Gilliam,3244000
Nick Anderson,3200000
Stacey Augmon,3200000
Marcus Camby,3164000
Bob Sura,3133000
Andrew Lang,3068000
Keith Van Horn,3054000
Pooh Richardson,3030000
Rodney Rogers,3000000
Sam Cassell,3000000
Derek Strong,3000000
Walt Williams,3000000
Avery Johnson,3000000
Grant Long,2977000
Micheal Williams,2975000
Doug West,2915000
Darrell Armstrong,2900000
Shareef Abdur-Rahim,2842000
Voshon Lenard,2837000
Muggsy Bogues,2800000
Rex Chapman,2800000
Eric Williams,2780000
Travis Best,2750000
Carl Herrera,2742500
Chauncey Billups,2742000
Michael Olowokandi,2700000
Adam Keefe,2650000
Ervin Johnson,2594000
Stephon Marbury,2562000
Greg Minor,2520000
Dino Radja,2500000
Mitch Richmond,2500000
Khalid Reeves,2477000
Antonio Daniels,2472000
Don MacLean,2460000
Pervis Ellison,2420000
Tyrone Corbin,2400000
Travis Knight,2400000
Mike Bibby,2400000
Popeye Jones,2381000
Tracy Murray,2380000
Doug Christie,2353000
Michael Cage,2350000
James Robinson,2337500
Ray Allen,2320000
Anthony Peeler,2254000
Brent Price,2240000
Tony Battie,2238000
Eddie Jones,2200000
Sherman Douglas,2200000
Michael Smith,2180000
Corie Blount,2162500
Rex Walters,2162500
David Wesley,2160000
Dean Garrett,2160000
Raef LaFrentz,2150000
Jalen Rose,2145000
Antoine Walker,2107000
Mark Strickland,2100000
Kevin Willis,2100000
Mark Bryant,2050000
Lindsey Hunter,2050000
Haywoode Workman,2040000
Ron Mercer,2033000
Elliot Perry,2000000
Bimbo Coles,2000000
Cherokee Parks,2000000
Gerald Wilkins,2000000
Carlos Rogers,2000000
Antawn Jamison,1940000
Lorenzen Wright,1923000
Erick Strickland,1920000
Nick Van Exel,1900000
Tim Thomas,1856000
Sam Perkins,1785000
Steve Kerr,1774000
Kerry Kittles,1762000
Eric Montross,1760000
Vince Carter,1760000
LaPhonso Ellis,1750000
Eric Murdock,1750000
John Williams,1750000
Rick Fox,1750000
Clarence Weatherspoon,1750000
Vinny Del Negro,1750000
Joe Smith,1750000
Kurt Thomas,1750000
Billy Owens,1750000
Dale Ellis,1750000
Jim Jackson,1750000
Mario Elie,1750000
Terry Davis,1750000
Dennis Scott,1725000
Adonal Foyle,1701000
Lucious Harris,1680000
Sean Rooks,1680000
Buck Williams,1670000
Yinka Dare,1657000
Felton Spencer,1650000
Eric Piatkowski,1650000
Kevin Gamble,1645000
Doug Edwards,1625000
Samaki Walker,1619880
Robert Traylor,1590000
Tracy McGrady,1563000
Bill Curley,1544000
Lee Mayberry,1540000
Erick Dampier,1538000
Danny Fortson,1485000
Dirk Nowitzki,1472640
Todd Fuller,1461000
Jason Williams,1460000
Duane Causwell,1454000
Andrew DeClercq,1440000
Keith Closs,1440000
Chris Whitney,1440000
Duane Ferrell,1430000
Aaron McKie,1430000
Tariq Abdul-Wahad,1411000
B.J. Tyler,1411000
Howard Eisley,1400000
Austin Croshere,1340000
Vitaly Potapenko,1339000
Larry Hughes,1330000
Randy Brown,1320000
Tim Legler,1320000
Kobe Bryant,1319000
Lorenzo Williams,1316000
Shandon Anderson,1300000
Scot Pollard,1290920
Derek Anderson,1273000
Charlie Ward,1221000
Maurice Taylor,1209000
Steve Nash,1190760
Paul Pierce,1165000
Terry Cummings,1150000
Bo Outlaw,1150000
Kelvin Cato,1149000
Terry Mills,1145000
Tony Delk,1131000
Terry Dehere,1112500
John Crotty,1104000
Bonzi Wells,1100000
Brevin Knight,1092000
Jermaine O'Neal,1075000
Michael Doleac,1050000
Johnny Taylor,1037000
John Wallace,1021000
Anthony Johnson,1000000
Mark West,1000000
Chris Carr,1000000
Scott Burrell,1000000
Joe Wolf,1000000
Bill Wennington,1000000
Johnny Newman,1000000
