,0
Michael Jordan,30140000
Horace Grant,14857000
Reggie Miller,11250000
Shaquille O'Neal,10714000
Gary Payton,10212000
David Robinson,9952000
Juwan Howard,9750000
Hakeem Olajuwon,9655000
Alonzo Mourning,9380000
Dennis Rodman,9000000
Dikembe Mutombo,8013000
Chris Webber,8000000
Otis Thorpe,7000000
Latrell Sprewell,7000000
Elden Campbell,7000000
Kevin Johnson,7000000
Danny Manning,6833000
Derrick Coleman,6739000
Anfernee Hardaway,6655000
Dale Davis,6508000
John Stockton,6000000
Clyde Drexler,5500000
Sean Elliott,5333000
Dino Radja,5313000
Antonio Davis,5200000
Shawn Bradley,5130000
Grant Hill,5025000
Larry Johnson,5004000
Tom Gugliotta,5000000
Allan Houston,5000000
A.C. Green,4851000
Vlade Divac,4718000
Charles Barkley,4695000
Karl Malone,4657000
Danny Ferry,4643000
Glenn Robinson,4640000
Christian Laettner,4500000
Steve Smith,4500000
Jason Kidd,4408000
Kenny Anderson,4175000
John Williams,4151000
Harvey Grant,4111000
Chris Dudley,4100000
Glen Rice,4002000
Rik Smits,4000000
Brian Shaw,4000000
Toni Kukoc,3960000
Jim Jackson,3900000
Ron Harper,3840000
Jamal Mashburn,3833000
Kendall Gill,3800000
Nick Anderson,3790000
Billy Owens,3773000
Vin Baker,3765000
Rony Seikaly,3752000
Isaiah Rider,3610000
Sherman Douglas,3594000
Mitch Richmond,3575000
Charles Smith,3557000
Tyrone Hill,3480000
Wayman Tisdale,3475000
Mark Price,3409000
Dana Barros,3400000
Bryant Stith,3400000
Donyell Marshall,3360000
Detlef Schrempf,3333000
Shawn Kemp,3300000
Clarence Weatherspoon,3300000
LaPhonso Ellis,3294000
Dee Brown,3250000
Stanley Roberts,3250000
Calbert Cheaney,3200000
Lionel Simmons,3194000
Olden Polynice,3140000
Loy Vaught,3100000
Mahmoud Abdul-Rauf,3100000
Sharone Wright,3100000
Joe Dumars,3075000
Bobby Hurley,3068000
Chris Gatling,3047000
Rod Strickland,3036000
Derrick McKey,3000000
Patrick Ewing,3000000
Jim McIlvaine,3000000
Dennis Scott,3000000
Clifford Robinson,2924000
Todd Day,2915000
Mark Jackson,2900000
Stojko Vrankovic,2900000
Ken Norman,2869000
Chris Mullin,2844000
Mookie Blaylock,2800000
Joe Smith,2794000
Luc Longley,2790000
Anthony Mason,2777000
Sam Perkins,2730000
Pooh Richardson,2721000
Robert Pack,2700000
Lamond Murray,2700000
Felton Spencer,2694000
Arvydas Sabonis,2640000
Hersey Hawkins,2604000
Charles Oakley,2600000
Chris Childs,2600000
Antonio McDyess,2545000
Sarunas Marciulionis,2500000
Tim Hardaway,2500000
Chris Morris,2500000
Stacey Augmon,2480000
Micheal Williams,2475000
Terry Mills,2457000
Marcus Camby,2434000
BJ Armstrong,2400000
Cedric Ceballos,2400000
Scott Williams,2400000
Jeff Hornacek,2396000
Gheorghe Muresan,2363000
Dan Majerle,2350000
Andrew Lang,2332000
Armen Gilliam,2317000
Terry Davis,2300000
Antoine Carr,2300000
Jerry Stackhouse,2286000
Kevin Edwards,2280000
Rodney Rogers,2280000
Allen Iverson,2267000
Grant Long,2260000
Jayson Williams,2250000
Scottie Pippen,2250000
John Salley,2225000
Duane Causwell,2215000
Shareef Abdur-Rahim,2186000
Doug West,2155000
Blue Edwards,2100000
George Lynch,2090000
Rasheed Wallace,2060000
Chuck Person,2060000
Reggie Williams,2048000
Vinny Del Negro,2023000
Mark West,2000000
Vincent Askew,2000000
PJ Brown,2000000
Elliot Perry,2000000
Adam Keefe,1950000
Stephon Marbury,1917000
John Starks,1913000
Terry Dehere,1905000
Nick Van Exel,1900000
Sasha Danilovic,1892000
Greg Anthony,1875000
Dell Curry,1830000
Bobby Phills,1808000
Greg Minor,1800000
Eddie Jones,1800000
Ray Allen,1785000
Don MacLean,1780000
Terry Porter,1775000
Pervis Ellison,1760000
Khalid Reeves,1752000
Rick Fox,1750000
Malik Sealy,1732000
Lindsey Hunter,1715000
Robert Horry,1703000
Donald Royal,1700000
Tracy Murray,1700000
Bryant Reeves,1695000
Kevin Garnett,1666000
Ervin Johnson,1636000
Antoine Walker,1620000
Dale Ellis,1600000
Brent Price,1600000
Popeye Jones,1581000
Muggsy Bogues,1575000
Michael Smith,1570000
Matt Geiger,1562000
Jalen Rose,1560000
Carl Herrera,1550000
Damon Stoudamire,1547000
Will Perdue,1544000
Anthony Peeler,1540000
Frank Brickowski,1500000
Kevin Willis,1500000
Lorenzen Wright,1480000
Michael Cage,1473000
Kenny Gattison,1450000
Yinka Dare,1448000
Marty Conlon,1447500
Shawn Respert,1417000
Bimbo Coles,1400000
Mario Elie,1400000
Eric Piatkowski,1363000
Kerry Kittles,1356000
Nate McMillan,1355000
Doug Christie,1355000
Brooks Thompson,1332300
Greg Graham,1330000
Terrell Brandon,1312000
Ed O'Bannon,1303000
Randy Brown,1300000
Derek Harper,1300000
Hubert Davis,1295000
Brian Grant,1293000
Eric Montross,1280000
Samaki Walker,1246000
Kurt Thomas,1238000
Scott Burrell,1235000
Chris Mills,1235000
Sam Cassell,1235000
Corie Blount,1235000
James Robinson,1235000
Rex Walters,1235000
Joe Kleine,1235000
Acie Earl,1235000
Johnny Newman,1225000
Ricky Pierce,1200000
Eddie Johnson,1200000
Sean Rooks,1200000
Sam Mitchell,1200000
Lucious Harris,1200000
